CUI4 token,Corresponding CUI5 tokens,,CUI4 token (RGBA),Corresponding CUI5 tokens
"$color-black-hex-shade-16
","--pd-color-text-primary
--pd-color-text-black-static
--pd-color-icon-primary
--pd-color-icon-black-static
--pd-color-fill-black-static",,"$color-black-rgba-shade-16
",
$color-black-hex,"--pd-color-text-primary
--pd-color-text-black-static
--pd-color-icon-primary
--pd-color-icon-black-static
--pd-color-fill-black-static",,$color-black-rgba,
$color-black-hex-88,"--pd-color-fill-dark-static
--pd-color-text-primary
--pd-color-text-black-static
--pd-color-icon-primary
--pd-color-icon-black-static",,$color-black-rgba-88,"--pd-color-icon-primary
--pd-color-icon-black-static"
$color-black-hex-64,"--pd-color-fill-extra-strong
--pd-color-text-secondary
--pd-color-icon-secondary",,$color-black-rgba-64,"--pd-color-fill-extra-strong-rgba
--pd-color-text-secondary-rgba
--pd-color-icon-secondary-rgba"
$color-black-hex-32,"--pd-color-fill-strong
--pd-color-text-muted
--pd-color-icon-muted",,$color-black-rgba-32,"--pd-color-fill-strong-rgba
--pd-color-text-muted-rgba
--pd-color-icon-muted-rgba"
$color-black-hex-24,"--pd-color-fill-medium-strong
--pd-color-text-white-secondary-static
--pd-color-divider-strong",,$color-black-rgba-24,"--pd-color-fill-medium-strong-rgba
--pd-color-text-white-secondary-static"
$color-black-hex-16,--pd-color-fill-medium,,$color-black-rgba-16,--pd-color-fill-medium-rgba
$color-black-hex-12,"--pd-color-fill-medium-light
--pd-color-divider-medium",,$color-black-rgba-12,"--pd-color-fill-medium-light-rgba
--pd-color-divider-medium-rgba"
$color-black-hex-8,"--pd-color-fill-light
--pd-color-fill-light-static",,$color-black-rgba-8,"--pd-color-fill-light-rgba
--pd-color-divider-light-rgba
"
$color-black-hex-5,--pd-color-fill-extra-light-rgba,,$color-black-rgba-5,--pd-color-fill-extra-light-rgba
$color-black-hex-4,"--pd-color-surface-app-background
--pd-color-surface-foreground-secondary
--pd-color-fill-base-secondary",,$color-black-rgba-4,
"black/white
#FFFFFF","--pd-color-surface-foreground
--pd-color-fill-base
--pd-color-fill-light-static
--pd-color-text-primary-inverted
--pd-color-text-white-static
--pd-color-icon-primary-inverted
--pd-color-icon-white-static",,,
